,Date,Price,Open,High,Low,Change %
211,"Jun 03, 2020",262.3,261.23,262.37,260.53,0.06%
212,"Jun 02, 2020",262.14,264.0,264.0,262.03,-0.52%
213,"Jun 01, 2020",263.52,263.78,264.36,263.2,-0.08%
214,"May 31, 2020",263.74,264.64,264.64,263.55,-0.97%
215,"May 30, 2020",263.74,264.64,264.64,263.55,-0.97%
216,"May 29, 2020",263.74,264.64,264.64,263.55,-0.97%
217,"May 28, 2020",266.33,264.93,266.33,264.17,0.19%
218,"May 27, 2020",265.82,266.0,266.07,264.24,0.02%
219,"May 26, 2020",265.76,266.34,266.34,265.5,-0.59%
220,"May 25, 2020",267.34,267.0,267.6,266.4,0.12%
221,"May 24, 2020",267.02,267.23,267.54,266.7,0.25%
222,"May 23, 2020",267.02,267.23,267.54,266.7,0.25%
223,"May 22, 2020",267.02,267.23,267.54,266.7,0.25%
224,"May 21, 2020",266.35,265.42,266.35,264.82,0.26%
225,"May 20, 2020",265.65,265.9,266.2,265.25,-0.11%
226,"May 19, 2020",265.93,266.1,266.23,264.85,-0.42%
227,"May 18, 2020",267.05,268.3,268.85,266.83,-0.48%
228,"May 17, 2020",268.33,269.01,269.48,268.32,-0.38%
229,"May 16, 2020",268.33,269.01,269.48,268.32,-0.38%
230,"May 15, 2020",268.33,269.01,269.48,268.32,-0.38%
231,"May 14, 2020",269.36,268.24,269.53,268.24,0.40%
232,"May 13, 2020",268.3,267.95,268.3,267.56,0.45%
233,"May 12, 2020",267.1,267.51,267.68,266.78,-0.21%
234,"May 11, 2020",267.65,267.96,268.12,267.18,-0.29%
235,"May 10, 2020",268.44,268.7,269.37,267.78,-0.10%
236,"May 09, 2020",268.44,268.7,269.37,267.78,-0.10%
237,"May 08, 2020",268.44,268.7,269.37,267.78,-0.10%
238,"May 07, 2020",268.7,268.63,269.14,267.59,0.02%
239,"May 06, 2020",268.65,269.03,269.54,267.8,-0.07%
240,"May 05, 2020",268.85,268.1,268.9,267.37,0.37%
241,"May 04, 2020",267.85,267.84,267.94,267.0,-0.09%
242,"May 03, 2020",268.09,268.65,269.64,267.23,-0.45%
243,"May 02, 2020",268.09,268.65,269.64,267.23,-0.45%
244,"May 01, 2020",268.09,268.65,269.64,267.23,-0.45%
