,Date,Price,Open,High,Low,Change %
215,"May 30, 2020",178.38,178.38,178.38,178.38,-0.63%
216,"May 29, 2020",178.38,178.38,178.38,178.38,-0.63%
217,"May 28, 2020",179.51,179.51,179.51,179.51,-0.11%
218,"May 27, 2020",179.71,179.71,179.71,179.71,1.07%
219,"May 26, 2020",177.81,177.81,177.81,177.81,0.80%
220,"May 25, 2020",176.4,176.4,176.4,176.4,0.39%
221,"May 24, 2020",175.72,175.72,175.72,175.72,-0.02%
222,"May 23, 2020",175.72,175.72,175.72,175.72,-0.02%
223,"May 22, 2020",175.72,175.72,175.72,175.72,-0.02%
224,"May 21, 2020",175.76,175.76,175.76,175.76,1.10%
225,"May 20, 2020",175.76,175.76,175.76,175.76,1.10%
226,"May 19, 2020",173.84,173.84,173.84,173.84,-1.08%
227,"May 18, 2020",175.73,175.73,175.73,175.73,2.67%
228,"May 17, 2020",171.16,171.16,171.16,171.16,0.39%
229,"May 16, 2020",171.16,171.16,171.16,171.16,0.39%
230,"May 15, 2020",171.16,171.16,171.16,171.16,0.39%
231,"May 14, 2020",170.5,170.5,170.5,170.5,0.34%
232,"May 13, 2020",169.93,169.93,169.93,169.93,-1.52%
233,"May 12, 2020",172.56,172.56,172.56,172.56,-1.73%
234,"May 11, 2020",175.6,175.6,175.6,175.6,0.48%
235,"May 10, 2020",174.76,174.76,174.76,174.76,0.79%
236,"May 09, 2020",174.76,174.76,174.76,174.76,0.79%
237,"May 08, 2020",174.76,174.76,174.76,174.76,0.79%
238,"May 07, 2020",173.39,173.39,173.39,173.39,1.16%
239,"May 06, 2020",171.4,171.4,171.4,171.4,-0.02%
240,"May 05, 2020",171.43,171.43,171.43,171.43,1.63%
241,"May 04, 2020",168.68,168.68,168.68,168.68,-2.36%
242,"May 03, 2020",172.75,172.75,172.75,172.75,0.37%
243,"May 02, 2020",172.75,172.75,172.75,172.75,0.37%
244,"May 01, 2020",172.75,172.75,172.75,172.75,0.37%
245,"Apr 30, 2020",172.75,172.75,172.75,172.75,0.37%
246,"Apr 29, 2020",172.11,172.11,172.11,172.11,0.13%
247,"Apr 28, 2020",172.11,172.11,172.11,172.11,0.13%
248,"Apr 27, 2020",171.89,171.89,171.89,171.89,1.52%
249,"Apr 26, 2020",169.32,169.32,169.32,169.32,0.82%
250,"Apr 25, 2020",169.32,169.32,169.32,169.32,0.82%
251,"Apr 24, 2020",169.32,169.32,169.32,169.32,0.82%
252,"Apr 23, 2020",167.94,167.94,167.94,167.94,0.32%
253,"Apr 22, 2020",167.4,167.4,167.4,167.4,2.19%
254,"Apr 21, 2020",163.82,163.82,163.82,163.82,-2.92%
255,"Apr 20, 2020",168.75,168.75,168.75,168.75,-1.10%
256,"Apr 19, 2020",170.62,170.62,170.62,170.62,2.34%
257,"Apr 18, 2020",170.62,170.62,170.62,170.62,2.34%
258,"Apr 17, 2020",170.62,170.62,170.62,170.62,2.34%
259,"Apr 16, 2020",166.72,166.72,166.72,166.72,0.71%
260,"Apr 15, 2020",165.54,165.54,165.54,165.54,-1.77%
261,"Apr 14, 2020",168.52,168.52,168.52,168.52,1.55%
262,"Apr 13, 2020",165.94,165.94,165.94,165.94,0.89%
263,"Apr 12, 2020",165.94,165.94,165.94,165.94,0.89%
264,"Apr 11, 2020",165.94,165.94,165.94,165.94,0.89%
265,"Apr 10, 2020",165.94,165.94,165.94,165.94,0.89%
266,"Apr 09, 2020",165.94,165.94,165.94,165.94,0.89%
267,"Apr 08, 2020",164.47,164.47,164.47,164.47,2.57%
268,"Apr 07, 2020",160.35,160.35,160.35,160.35,-0.06%
269,"Apr 06, 2020",160.45,160.45,160.45,160.45,5.94%
270,"Apr 05, 2020",151.45,151.45,151.45,151.45,-0.86%
271,"Apr 04, 2020",151.45,151.45,151.45,151.45,-0.86%
272,"Apr 03, 2020",151.45,151.45,151.45,151.45,-0.86%
273,"Apr 02, 2020",152.77,152.77,152.77,152.77,1.87%
274,"Apr 01, 2020",149.96,149.96,149.96,149.96,-3.56%
275,"Mar 31, 2020",155.5,155.5,155.5,155.5,-0.41%
276,"Mar 30, 2020",156.14,156.14,156.14,156.14,2.75%
277,"Mar 29, 2020",151.96,151.96,151.96,151.96,-2.91%
278,"Mar 28, 2020",151.96,151.96,151.96,151.96,-2.91%
279,"Mar 27, 2020",151.96,151.96,151.96,151.96,-2.91%
280,"Mar 26, 2020",156.51,156.51,156.51,156.51,3.26%
281,"Mar 25, 2020",151.57,151.57,151.57,151.57,2.09%
282,"Mar 24, 2020",148.46,148.46,148.46,148.46,8.49%
283,"Mar 23, 2020",136.84,136.84,136.84,136.84,-3.59%
284,"Mar 22, 2020",141.93,141.93,141.93,141.93,-2.43%
285,"Mar 21, 2020",141.93,141.93,141.93,141.93,-2.43%
286,"Mar 20, 2020",141.93,141.93,141.93,141.93,-2.43%
287,"Mar 19, 2020",145.46,145.46,145.46,145.46,2.13%
288,"Mar 18, 2020",142.42,142.42,142.42,142.42,-3.96%
289,"Mar 17, 2020",148.29,148.29,148.29,148.29,5.66%
290,"Mar 16, 2020",140.35,140.35,140.35,140.35,-10.08%
291,"Mar 15, 2020",156.08,156.08,156.08,156.08,5.95%
292,"Mar 14, 2020",156.08,156.08,156.08,156.08,5.95%
293,"Mar 13, 2020",156.08,156.08,156.08,156.08,5.95%
294,"Mar 12, 2020",147.32,147.32,147.32,147.32,-8.23%
295,"Mar 11, 2020",160.54,160.54,160.54,160.54,-3.32%
296,"Mar 10, 2020",166.06,166.06,166.06,166.06,3.50%
297,"Mar 09, 2020",160.44,160.44,160.44,160.44,-8.14%
298,"Mar 08, 2020",174.65,174.65,174.65,174.65,-3.03%
299,"Mar 07, 2020",174.65,174.65,174.65,174.65,-3.03%
300,"Mar 06, 2020",174.65,174.65,174.65,174.65,-3.03%
301,"Mar 05, 2020",180.1,180.1,180.1,180.1,-2.65%
302,"Mar 04, 2020",185.0,185.0,185.0,185.0,3.36%
303,"Mar 03, 2020",178.98,178.98,178.98,178.98,-1.89%
304,"Mar 02, 2020",182.42,182.42,182.42,182.42,1.88%
305,"Mar 01, 2020",179.06,179.06,179.06,179.06,-1.55%
306,"Feb 29, 2020",179.06,179.06,179.06,179.06,-1.55%
307,"Feb 28, 2020",179.06,179.06,179.06,179.06,-1.55%
308,"Feb 27, 2020",181.87,181.87,181.87,181.87,-4.64%
309,"Feb 26, 2020",190.71,190.71,190.71,190.71,-0.49%
310,"Feb 25, 2020",191.65,191.65,191.65,191.65,-2.79%
311,"Feb 24, 2020",197.16,197.16,197.16,197.16,-3.04%
312,"Feb 23, 2020",203.34,203.34,203.34,203.34,-1.16%
313,"Feb 22, 2020",203.34,203.34,203.34,203.34,-1.16%
314,"Feb 21, 2020",203.34,203.34,203.34,203.34,-1.16%
315,"Feb 20, 2020",205.73,205.73,205.73,205.73,-0.54%
316,"Feb 19, 2020",206.85,206.85,206.85,206.85,0.70%
317,"Feb 18, 2020",205.41,205.41,205.41,205.41,-0.24%
318,"Feb 17, 2020",205.91,205.91,205.91,205.91,0.04%
319,"Feb 16, 2020",205.82,205.82,205.82,205.82,0.09%
320,"Feb 15, 2020",205.82,205.82,205.82,205.82,0.09%
321,"Feb 14, 2020",205.82,205.82,205.82,205.82,0.09%
322,"Feb 13, 2020",205.64,205.64,205.64,205.64,0.25%
323,"Feb 12, 2020",205.13,205.13,205.13,205.13,0.76%
324,"Feb 11, 2020",203.59,203.59,203.59,203.59,0.42%
325,"Feb 10, 2020",202.73,202.73,202.73,202.73,0.73%
326,"Feb 09, 2020",201.27,201.27,201.27,201.27,-0.36%
327,"Feb 08, 2020",201.27,201.27,201.27,201.27,-0.36%
328,"Feb 07, 2020",201.27,201.27,201.27,201.27,-0.36%
329,"Feb 06, 2020",202.0,202.0,202.0,202.0,0.71%
330,"Feb 05, 2020",200.57,200.57,200.57,200.57,1.34%
331,"Feb 04, 2020",197.91,197.91,197.91,197.91,2.07%
332,"Feb 03, 2020",193.9,193.9,193.9,193.9,-1.67%
333,"Feb 02, 2020",193.9,193.9,193.9,193.9,-1.67%
334,"Feb 01, 2020",193.9,193.9,193.9,193.9,-1.67%
335,"Jan 31, 2020",193.9,193.9,193.9,193.9,-1.67%
336,"Jan 30, 2020",197.19,197.19,197.19,197.19,-0.38%
337,"Jan 29, 2020",197.94,197.94,197.94,197.94,0.06%
338,"Jan 28, 2020",197.82,197.82,197.82,197.82,0.81%
339,"Jan 27, 2020",196.23,196.23,196.23,196.23,-1.54%
340,"Jan 26, 2020",199.3,199.3,199.3,199.3,-0.27%
341,"Jan 25, 2020",199.3,199.3,199.3,199.3,-0.27%
342,"Jan 24, 2020",199.3,199.3,199.3,199.3,-0.27%
343,"Jan 23, 2020",199.83,199.83,199.83,199.83,0.10%
344,"Jan 22, 2020",199.63,199.63,199.63,199.63,0.25%
345,"Jan 21, 2020",199.13,199.13,199.13,199.13,-0.32%
346,"Jan 20, 2020",199.76,199.76,199.76,199.76,0.03%
347,"Jan 19, 2020",199.7,199.7,199.7,199.7,0.81%
348,"Jan 18, 2020",199.7,199.7,199.7,199.7,0.81%
349,"Jan 17, 2020",199.7,199.7,199.7,199.7,0.81%
350,"Jan 16, 2020",198.1,198.1,198.1,198.1,0.68%
351,"Jan 15, 2020",196.77,196.77,196.77,196.77,-0.12%
352,"Jan 14, 2020",197.01,197.01,197.01,197.01,0.13%
353,"Jan 13, 2020",196.76,196.76,196.76,196.76,0.25%
354,"Jan 12, 2020",196.26,196.26,196.26,196.26,-0.19%
355,"Jan 11, 2020",196.26,196.26,196.26,196.26,-0.19%
356,"Jan 10, 2020",196.26,196.26,196.26,196.26,-0.19%
357,"Jan 09, 2020",196.64,196.64,196.64,196.64,0.71%
358,"Jan 08, 2020",195.26,195.26,195.26,195.26,0.49%
359,"Jan 07, 2020",194.3,194.3,194.3,194.3,0.25%
360,"Jan 06, 2020",193.81,193.81,193.81,193.81,-0.16%
361,"Jan 05, 2020",194.12,194.12,194.12,194.12,-0.24%
362,"Jan 04, 2020",194.12,194.12,194.12,194.12,-0.24%
363,"Jan 03, 2020",194.12,194.12,194.12,194.12,-0.24%
364,"Jan 02, 2020",194.59,194.59,194.59,194.59,0.97%
365,"Jan 01, 2020",194.59,194.59,194.59,194.59,0.97%
